Species strain,Species,Strain,Clade,Source,Assembly Accession,Keep,Notes
Aaosphaeria arxii CBS 175.79 v1.0,Aaosphaeria arxii CBS 175.79,CBS 175.79,,JGI,,,
Abortiporus biennis CCBS 521 v1.0,Abortiporus biennis CCBS 521,CCBS 521,,JGI,,,
Absidia glauca,Absidia glauca,CBS 101.48,,Ensembl-Genbank,,,Manually added strain
Absidia padenii NRRL 2977 v1.0,Absidia padenii NRRL 2977,NRRL 2977,,JGI,,,
Absidia repens NRRL 1336 v1.0,Absidia repens NRRL 1336,NRRL 1336,,JGI,,,
Absidia repens str. NRRL 1336,Absidia repens str. NRRL 1336,NRRL 1336,,Ensembl-Genbank,,,
Acaromyces ingoldii MCA 4198 v1.0,Acaromyces ingoldii MCA 4198,MCA 4198,,JGI,,,
Acaromyces ingoldii str. MCA 4198 (GCA_003144295),Acaromyces ingoldii str. MCA 4198,MCA 4198,,Ensembl-Genbank,,,
Acephala macrosclerotiorum EW76-UTF0540 v1.0,Acephala macrosclerotiorum EW76-UTF0540,EW76-UTF0540,,JGI,,,
Achaetomium strumarium CBS333.67 v1.0,Achaetomium strumarium CBS333.67,CBS333.67,,JGI,,,
Acidomyces richmondensis (GCA_001572075),Acidomyces richmondensis,BFW,Ascomycota,Ensembl-Genbank,,,
Acidomyces richmondensis BFW,Acidomyces richmondensis BFW,BFW,,JGI,,,
Acidomyces richmondensis BFW (GCA_001592465),Acidomyces richmondensis BFW,BFW,,Ensembl-Genbank,,,
Acidothrix acidophila CBS 136259 v1.0,Acidothrix acidophila CBS 136259,CBS 136259,,JGI,,,
Acremonium chrysogenum ATCC 11550,Acremonium chrysogenum ATCC 11550,ATCC 11550,,JGI,,,
Acremonium chrysogenum ATCC 11550 (GCA_000769265),Acremonium chrysogenum ATCC 11550,ATCC 11550,,Ensembl-Genbank,,,
Agaricostilbum hyphaenes  ATCC MYA-4628 v1.0,Agaricostilbum hyphaenes  ATCC MYA-4628,ATCC MYA-4628,,JGI,,,
Agaricus bisporus var bisporus (H97) v2.0,Agaricus bisporus var. bisporus (H97),H97,,JGI,,,
Agaricus bisporus var. burnettii JB137-S8,Agaricus bisporus var. burnettii JB137-S8,JB137-S8,,JGI,,,
Agaricus bisporus var. burnettii JB137-S8 (GCA_000300555),Agaricus bisporus var. burnettii JB137-S8,JB137-S8,,Ensembl-Genbank,,,
Agrocybe praecox OKM6292 v1.0,Agrocybe praecox OKM6292,OKM6292,,JGI,,,
Albatrellus peckianus DAOM 52321 v1.0,Albatrellus peckianus DAOM 52321,DAOM 52321,,JGI,,,
Aliquandostipite khaoyaiensis CBS 118232 v1.0,Aliquandostipite khaoyaiensis CBS 118232,CBS 118232,,JGI,,,
Allomyces macrogynus ATCC 38327,Allomyces macrogynus ATCC 38327,ATCC 38327,Chytridiomycota,FungiDB,,,
Allomyces macrogynus ATCC 38327 (GCA_000151295),Allomyces macrogynus ATCC 38327,ATCC 38327,,Ensembl-Genbank,,,
Alternaria alternata MPI-PUGE-AT-0064 v1.0,Alternaria alternata MPI-PUGE-AT-0064,MPI-PUGE-AT-0064,,JGI,,,
Alternaria alternata SRC1lrK2f v1.0,Alternaria alternata SRC1lrK2f,SRC1lrK2f,,JGI,,,
Alternaria alternata str. SRC1lrK2f (GCA_001642055),Alternaria alternata str. SRC1lrK2f,SRC1lrK2f,,Ensembl-Genbank,,,
Alternaria brassicicola,Alternaria brassicicola,ATCC 96836,Ascomycota,JGI,,,
Alternaria rosae MPI-PUGE-AT-0040 v1.0,Alternaria rosae MPI-PUGE-AT-0040,MPI-PUGE-AT-0040,,JGI,,,
Amanita muscaria Koide v1.0,Amanita muscaria Koide,Koide,,JGI,,,
Amanita muscaria Koide BX008 (GCA_000827485),Amanita muscaria Koide BX008,Koide BX008,,Ensembl-Genbank,,,
Amanita rubescens Prilba v1.0,Amanita rubescens Prilba,Prilba,,JGI,,,
Amanita thiersii Skay4041 (GCA_002554575),Amanita thiersii Skay4041,Skay4041,,Ensembl-Genbank,,,
Amanita thiersii Skay4041 v1.0,Amanita thiersii Skay4041,Skay4041,,JGI,,,
Amauroascus mutatus isolate UAMH 3576,Amauroascus mutatus isolate UAMH 3576,UAMH 3576,Ascomyocta,FungiDB,,,
Ambrosiozyma philentoma NRRL Y-7523,Ambrosiozyma philentoma NRRL Y-7523,NRRL Y-7523,,JGI,,,
Amniculicola lignicola CBS 123094 v1.0,Amniculicola lignicola CBS 123094,CBS 123094,,JGI,,,
Amorphotheca resinae v1.0,Amorphotheca resinae,ATCC 22711,,JGI,,,
Amorphotheca resinae ATCC 22711 (GCA_003019875),Amorphotheca resinae ATCC 22711,ATCC 22711,,Ensembl-Genbank,,,
Ampelomyces quisqualis HMLAC05119 v1.0,Ampelomyces quisqualis HMLAC05119,HMLAC05119,,JGI,,,
Amphiamblys sp. WSBS2006 (GCA_001875675),Amphiamblys sp. WSBS2006,WSBS2006,,Ensembl-Genbank,,,
Amylocarpus encephaloides TRa018bII v1.0,Amylocarpus encephaloides TRa018bII,TRa018bII,,JGI,,,
