Species strain,Species,Strain,Clade,Source,Assembly Accession,Keep,Notes
Aaosphaeria arxii CBS 175.79 v1.0,Aaosphaeria arxii CBS 175.79,CBS 175.79,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;;genus:Aaosphaeria,JGI
Abortiporus biennis CCBS 521 v1.0,Abortiporus biennis CCBS 521,CCBS 521,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;;family:Podoscyphaceae;genus:Abortiporus,JGI
Absidia glauca,Absidia glauca,CBS 101.48,phylum:Mucoromycota;subphylum:Mucoromycotina;class:Mucoromycetes;;family:Cunninghamellaceae;genus:Absidia,Ensembl-Genbank,,,Manually added strain
Absidia padenii NRRL 2977 v1.0,Absidia padenii NRRL 2977,NRRL 2977,;;;;;,JGI
Absidia repens NRRL 1336 v1.0,Absidia repens NRRL 1336,NRRL 1336,phylum:Mucoromycota;subphylum:Mucoromycotina;class:Mucoromycetes;;family:Cunninghamellaceae;genus:Absidia,JGI
Absidia repens str. NRRL 1336,Absidia repens str. NRRL 1336,NRRL 1336,phylum:Mucoromycota;subphylum:Mucoromycotina;class:Mucoromycetes;;family:Cunninghamellaceae;genus:Absidia,Ensembl-Genbank
Acaromyces ingoldii MCA 4198 v1.0,Acaromyces ingoldii MCA 4198,MCA 4198,phylum:Basidiomycota;subphylum:Ustilaginomycotina;class:Exobasidiomycetes;;family:Cryptobasidiaceae;genus:Acaromyces,JGI
Acaromyces ingoldii str. MCA 4198 (GCA_003144295),Acaromyces ingoldii str. MCA 4198,MCA 4198,phylum:Basidiomycota;subphylum:Ustilaginomycotina;class:Exobasidiomycetes;;family:Cryptobasidiaceae;genus:Acaromyces,Ensembl-Genbank
Acephala macrosclerotiorum EW76-UTF0540 v1.0,Acephala macrosclerotiorum EW76-UTF0540,EW76-UTF0540,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;;genus:Acephala,JGI
Achaetomium strumarium CBS333.67 v1.0,Achaetomium strumarium CBS333.67,CBS333.67,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Sordariomycetidae;family:Chaetomiaceae;genus:Achaetomium,JGI
Acidomyces richmondensis (GCA_001572075),Acidomyces richmondensis,BFW,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;;genus:Acidomyces,Ensembl-Genbank
Acidomyces richmondensis BFW,Acidomyces richmondensis BFW,BFW,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;;genus:Acidomyces,JGI
Acidomyces richmondensis BFW (GCA_001592465),Acidomyces richmondensis BFW,BFW,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Dothideomycetidae;;genus:Acidomyces,Ensembl-Genbank
Acidothrix acidophila CBS 136259 v1.0,Acidothrix acidophila CBS 136259,CBS 136259,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Sordariomycetidae;family:Amplistromataceae;genus:Acidothrix,JGI
Acremonium chrysogenum ATCC 11550,Acremonium chrysogenum ATCC 11550,ATCC 11550,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;;genus:Acremonium,JGI
Acremonium chrysogenum ATCC 11550 (GCA_000769265),Acremonium chrysogenum ATCC 11550,ATCC 11550,phylum:Ascomycota;subphylum:Pezizomycotina;class:Sordariomycetes;subclass:Hypocreomycetidae;;genus:Acremonium,Ensembl-Genbank
Agaricostilbum hyphaenes  ATCC MYA-4628 v1.0,Agaricostilbum hyphaenes  ATCC MYA-4628,ATCC MYA-4628,phylum:Basidiomycota;subphylum:Pucciniomycotina;class:Agaricostilbomycetes;;family:Agaricostilbaceae;genus:Sterigmatomyces,JGI
Agaricus bisporus var bisporus (H97) v2.0,Agaricus bisporus var. bisporus (H97),H97,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Agaricaceae;genus:Agaricus,JGI
Agaricus bisporus var. burnettii JB137-S8,Agaricus bisporus var. burnettii JB137-S8,JB137-S8,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Agaricaceae;genus:Agaricus,JGI
Agaricus bisporus var. burnettii JB137-S8 (GCA_000300555),Agaricus bisporus var. burnettii JB137-S8,JB137-S8,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Agaricaceae;genus:Agaricus,Ensembl-Genbank
Agrocybe praecox OKM6292 v1.0,Agrocybe praecox OKM6292,OKM6292,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Bolbitiaceae;genus:Agrocybe,JGI
Albatrellus peckianus DAOM 52321 v1.0,Albatrellus peckianus DAOM 52321,DAOM 52321,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;;family:Albatrellaceae;genus:Albatrellus,JGI
Aliquandostipite khaoyaiensis CBS 118232 v1.0,Aliquandostipite khaoyaiensis CBS 118232,CBS 118232,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Aliquandostipitaceae;genus:Aliquandostipite,JGI
Allomyces macrogynus ATCC 38327,Allomyces macrogynus ATCC 38327,ATCC 38327,phylum:Blastocladiomycota;;class:Blastocladiomycetes;;family:Blastocladiaceae;genus:Allomyces,FungiDB
Allomyces macrogynus ATCC 38327 (GCA_000151295),Allomyces macrogynus ATCC 38327,ATCC 38327,phylum:Blastocladiomycota;;class:Blastocladiomycetes;;family:Blastocladiaceae;genus:Allomyces,Ensembl-Genbank
Alternaria alternata MPI-PUGE-AT-0064 v1.0,Alternaria alternata MPI-PUGE-AT-0064,MPI-PUGE-AT-0064,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Pleosporaceae;genus:Alternaria,JGI
Alternaria alternata SRC1lrK2f v1.0,Alternaria alternata SRC1lrK2f,SRC1lrK2f,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Pleosporaceae;genus:Alternaria,JGI
Alternaria alternata str. SRC1lrK2f (GCA_001642055),Alternaria alternata str. SRC1lrK2f,SRC1lrK2f,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Pleosporaceae;genus:Alternaria,Ensembl-Genbank
Alternaria brassicicola,Alternaria brassicicola,ATCC 96836,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Pleosporaceae;genus:Alternaria,JGI
Alternaria rosae MPI-PUGE-AT-0040 v1.0,Alternaria rosae MPI-PUGE-AT-0040,MPI-PUGE-AT-0040,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Pleosporaceae;genus:Alternaria,JGI
Amanita muscaria Koide v1.0,Amanita muscaria Koide,Koide,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Amanitaceae;genus:Amanita,JGI
Amanita muscaria Koide BX008 (GCA_000827485),Amanita muscaria Koide BX008,Koide BX008,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Amanitaceae;genus:Amanita,Ensembl-Genbank
Amanita rubescens Prilba v1.0,Amanita rubescens Prilba,Prilba,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Amanitaceae;genus:Amanita,JGI
Amanita thiersii Skay4041 (GCA_002554575),Amanita thiersii Skay4041,Skay4041,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Amanitaceae;genus:Amanita,Ensembl-Genbank
Amanita thiersii Skay4041 v1.0,Amanita thiersii Skay4041,Skay4041,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Amanitaceae;genus:Amanita,JGI
Amauroascus mutatus isolate UAMH 3576,Amauroascus mutatus isolate UAMH 3576,UAMH 3576,phylum:Ascomycota;subphylum:Pezizomycotina;class:Eurotiomycetes;subclass:Eurotiomycetidae;family:Onygenaceae;genus:Amauroascus,FungiDB
Ambrosiozyma philentoma NRRL Y-7523,Ambrosiozyma philentoma NRRL Y-7523,NRRL Y-7523,phylum:Ascomycota;subphylum:Saccharomycotina;class:Saccharomycetes;;;genus:Ambrosiozyma,JGI
Amniculicola lignicola CBS 123094 v1.0,Amniculicola lignicola CBS 123094,CBS 123094,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Amniculicolaceae;genus:Amniculicola,JGI
Amorphotheca resinae v1.0,Amorphotheca resinae,ATCC 22711,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Myxotrichaceae;genus:Amorphotheca,JGI
Amorphotheca resinae ATCC 22711 (GCA_003019875),Amorphotheca resinae ATCC 22711,ATCC 22711,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;family:Myxotrichaceae;genus:Amorphotheca,Ensembl-Genbank
Ampelomyces quisqualis HMLAC05119 v1.0,Ampelomyces quisqualis HMLAC05119,HMLAC05119,phylum:Ascomycota;subphylum:Pezizomycotina;class:Dothideomycetes;subclass:Pleosporomycetidae;family:Leptosphaeriaceae;genus:Ampelomyces,JGI
Amphiamblys sp. WSBS2006 (GCA_001875675),Amphiamblys sp. WSBS2006,WSBS2006,;;;;;,Ensembl-Genbank
Amylocarpus encephaloides TRa018bII v1.0,Amylocarpus encephaloides TRa018bII,TRa018bII,phylum:Ascomycota;subphylum:Pezizomycotina;class:Leotiomycetes;;;genus:Amylocarpus,JGI
Amylocorticium subincarnatum OMC1654 v1.0,Amylocorticium subincarnatum OMC1654,OMC1654,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;subclass:Agaricomycetidae;family:Amylocorticiaceae;genus:Amylocorticium,JGI
Amylocystis lapponica SKaAmylap13 v1.0,Amylocystis lapponica SKaAmylap13,SKaAmylap13,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;;family:Dacryobolaceae;genus:Amylocystis,JGI
Amylomyces rouxii NRRL 5866 v1.0,Amylomyces rouxii NRRL 5866,NRRL 5866,phylum:Mucoromycota;subphylum:Mucoromycotina;class:Mucoromycetes;;family:Mucoraceae;genus:Amylomyces,JGI
Amylostereum chailletii DWAch2 v1.0,Amylostereum chailletii DWAch2,DWAch2,phylum:Basidiomycota;subphylum:Agaricomycotina;class:Agaricomycetes;;family:Stereaceae;genus:Amylostereum,JGI
Anaeromyces robustus v1.0,Anaeromyces robustus,S4,phylum:Chytridiomycota;;class:Neocallimastigomycetes;;family:Neocallimastigaceae;genus:Anaeromyces,JGI
Anaeromyces robustus str. S4 (GCA_002104895),Anaeromyces robustus str. S4,S4,phylum:Chytridiomycota;;class:Neocallimastigomycetes;;family:Neocallimastigaceae;genus:Anaeromyces,Ensembl-Genbank
Anncaliia algerae PRA109 (GCA_000385855),Anncaliia algerae PRA109,PRA109,phylum:Microsporidia;;;;family:Tubulinosematidae;genus:Anncaliia,Ensembl-Genbank
Anncaliia algerae PRA339 (GCA_000385875),Anncaliia algerae PRA339,PRA339,phylum:Microsporidia;;;;family:Tubulinosematidae;genus:Anncaliia,Ensembl-Genbank
