portal	name
Olpbor1	Olpidium_bornovanus_UBC_F19785
Aspfl2_3	Aspergillus_flavus_NRRL3357_v1.0
Piromy_p0_1	Piromyces_sp._UH3-1_v2.0
MroMCA2997_1	Moniliophthora_roreri_MCA_2997
Suivis2	Suillus_viscidus_S02_v2.0
Tubmel1	Tuber_melosporum_Tmelo_v1.0
Tubmes1	Tuber_mesentericum_Tmes4_v1.0
LedB17_3	Lentinula_edodes_B17_v1.3
Lened1	Lentinula_edodes_NBRC_111202
Phchr3_2	Phanerochaete_chrysosporium_RP-78_v3.0
MoeAD073_1	Linnemannia_elongata_AD073_v1.0
Moramoe1	Mortierella_alpina_KOD1005_v1.0
Xylber1	Xylaria_berteri_95101511_v1.0
Xylcur1	Xylaria_curta_92092022_v1.0
Roscor1	Rosellinia_corticium_1501_v1.0
Antleu1	Anthostomella_leucospermi_CBS110126_v1.0
Anttom1	Anthostomella_tomicoides_1013_v1.0
LnoICMP18003A_1	Lentinula_novae-zelandiae_ICMP_18003_v1.0
Tripara1	Trichocoma_paradoxa_CBS_103.73_v1.0
Metgru1	Metschnikowia_gruessii_VY0332_v1.0
Cryan3	Cryomyces_antarcticus_CBS_116301_v3.0
Pcit129764	Phyllosticta_citrichinaensis_CBS_129764_v1.0
Fusoxalb1	Fusarium_oxysporum_f._sp._albedinis_isolate_9_v1.0
Cantro1	Candida_tropicalis_MYA3404
Phlsub1	Phlebia_subcretacea_OMC74_v1.0
Persub1	Perenniporia_subacida_PersubVin-SM18_v1.0
Brefa1	Bretziella_fagacearum_C519_v1.0
Sidvul1	Sidera_vulgaris_OMC_1730_v1.0
Ustgig1	Ustanciosporium_gigantosporum_RK316_v1.0
Pyrinf1	Pyrenochaeta_inflorescentiae_CORFU0001_v1.0
Cersp379_1	Ceratobasidium_sp._379_v1.0
Cersp423_1	Ceratobasidium_sp._423_v1.0
Metreu1	Metschnikowia_reukaufii_MR1_v1.1
Cersp394_1	Ceratobasidium_sp._394_v1.0
Anokam1	Anomoporia_kamtschatica_OMC1758_v1.0
Ilyro1	Clonostachys_sp._CORFU0009_v1.0
Morste1	Morchella_steppicola_PhC_289_v1.0
LlaRV95_379_1	Lentinula_lateritia_RV95-379_v1.0
LboTFB10292_1	Lentinula_boryana_TFB10292_v1.0
Hebvel2	Hebeloma_brunneifolium_PMI1Jessy_v2.0
Aspcris1	Penicillium_sp._DTU1_v1.0
IsorIO21_1	Issatchenkia_orientalis_IO21_v1.0
Nagvi1	Naganishia_vishniacii_ANT03-052_v1.1
XandeCB38_1	Xanthophyllomyces_dendrorhous_CBS_6938_v1.0
Tubin1_1	Tuber_indicum_v1.0
XandeAX4_1	Xanthophyllomyces_dendrorhous_UBV-AX4_v1.0
Tubbr1_1	Tuber_brumale_v1.0
Phcapit2	Phyllosticta_capitalensis_CBS_111638_v2.0
Pcit16586	Phyllosticta_citricarpa_CPC_16586_v1.0
Pcit141352	Phyllosticta_citricarpa_CBS_141352_v1.0
Pcitr2	Phyllosticta_citriasiana_CBS_120426_v2.0
Pcit122482	Phyllosticta_citricarpa_CBS_122482_v1.0
Phycapi2	Phyllosticta_capitalensis_CBS_173.77_v2.0
Pcit122670	Phyllosticta_citricarpa_CBS_122670_v1.0
Pcitri2	Phyllosticta_citriasiana_CBS_123371_v2.0
Pcit11120	Phyllosticta_citricarpa_CBS_111.20_v1.0
Pcit120373	Phyllosticta_citricarpa_CBS_102373_v1.0
Pcit131864	Phyllosticta_citricarpa_CBS_131864_v1.0
FoxPHW726_1	Fusarium_oxysporum_f._sp._matthiolae_PHW726
Fox26365_1	Fusarium_oxysporum_NRRL_26365
Tripop1	Tricholoma_populinum_2016PMI031_v1.0
Armnov1	Armillaria_novae-zelandiae_2840_v1.0
Tulinq1	Tulasnella_inquilina_UAMH_7632_v1.0
Armfum1	Armillaria_fumosa_CBS_122221_v1.0
Tulsp425_1	Tulasnella_sp._425_v1.0
Dallocu1	Daldinia_loculatoides_CBS_113279_v1.0
XyFL0821_1	Xylariaceae_sp._FL0821_v1.0
Hyppol1	Hypoxylon_polyporus_FL1289_v1.0
Podjug1	Podosordaria_jugoyasan_CBS_670.77_v1.0
AnFL0455	Annulohypoxylon_sp._FL0455_v1.0
Pilbys1	Piloderma_byssinum_4S31_v1.0
Pilsph1	Piloderma_sphaerosporum_354_v1.0
Lerce1	Leratiomyces_ceres_mycota028_v1.0
Neolan1	Neocallimastix_lanati_v1.0
Lerer1	Leratiomyces_erythrocephalus_mycota031_v1.0
Pismi2	Pisolithus_microcarpus_441_v2.0
Pisti2	Pisolithus_tinctorius_Marx_270_v2.0
Mycoli1	Mycena_olivaceomarginata_CBHHK47/15_v1.0
Mycpur1	Mycena_pura_9144_v1.0
Morkaki1	Morchella_kakiicolor_PhC_280_v3.0
Mycvul1	Mycena_vulgaris_CBHHK164_v1.0
Morpul1	Morchella_pulchella_Mel-31_v1.0
Morsem1	Morchella_semilibera_PhC_218_v1.0
Mycmac1	Mycena_maculata_CBHHK188m_v1.0
Mordim1	Morchella_diminutiva_Mes-2_v1.0
Phlfa1	Phleogena_faginea_OMC_1709_v1.0
Myclep1	Mycena_leptocephala_CBHHK5/15_v1.0
LacbiD101_1	Laccaria_bicolor_D101_v1.0
Morfluv1	Morchella_fluvialis_PhC_265_v3.0
Morpra1	Morchella_prava_Mes-7_v1.0
Mycpol1	Mycena_polygramma_CBHHK137_v1.0
Mycgale1	Mycena_galericulata_CBHHK162m_v1.0
Mycmet1	Mycena_metata_CBHHK182m_v1.0
Sisser1	Sistotrema_sernanderi_OMC_1753_v1.0
Sismus1	Sistotrema_muscicola_OMC_1658_v1.0
Intcon1_1	Intextomyces_contiguus_OMC1699_v1.0
Phevit1	Phellinus_viticola_PhevitSig-SM15_v1.0
Gyrinf1	Gyromitra_infula_GyrinfSpk-SM18_v1.0
Antcit1	Antrodiella_citrinella_FBCC_969_v1.0
Mordis1	Morchella_disparilis_PhC_293_v1.0
Suipunc1	Suillus_punctipes_FC325_v1.0
Suipun1	Suillus_pungens_FC27_v1.0
Morbru1	Morchella_brunnea_Mel-22_v1.0
Claaq1	Clavariopsis_aquatica_WDA-00-1
Veneff1	Venturia_effusa
Blugra3_16	Blumeria_graminis_f._sp._tritici_96224_v3.16
Lenzyc1	Lentamyces_zychae_NRRL_2806_v1.0
Lenpar1	Lentamyces_parricidus_NRRL2409_v1.0
Morcap1	Mortierella_capitata_AV005_v1.0
Abscae1	Absidia_caerulea_NRRL1315_v1.0
Tubcan1	Tuber_canaliculatum_GB_Tcana1_v1.0
Tubgib1	Tuber_gibbosum_GB_Tgibb2_v1.0
Chapip1	Chalciporus_piperatus_201810_CP_v1.0
Lacind1	Lactarius_indigo_2018DUKE089_v1.0
Morgam1	Mortierella_gamsii_AM1032_v1.0
Aspflor1	Aspergillus_floridensis_DTO_198-A8_v1.0
Asptsu1	Aspergillus_tsurutae_IBT_34206_v1.0
Aspcre1	Aspergillus_cretensis_CBS_112802_v1.0
Aspshe1	Aspergillus_shendaweii_IBT_34197_v1.0
Aspvir1	Aspergillus_viridinutans_CBS_127.56_v1.0
Asppsev1	Aspergillus_pseudoviridinutans_IBT_34175_v1.0
Asppul1	Aspergillus_pulvericola_CBS_137327_v1.0
Aspaurful1	Aspergillus_aureofulgens_IBT_27100_v1.0
Aspses1	Aspergillus_sesamicola_CBS_137324_v1.0
Aspdro1	Aspergillus_dromiae_CBS_140633_v1.0
Asppuu1	Aspergillus_puulaauensis_IBT_32284_v1.0
Aspsep1	Aspergillus_sepultus_CBS_257.85_v1.0
Aspth1	Aspergillus_thesauricus_IBT_34227_v1.0
Aspwak1	Aspergillus_waksmanii_IBT_31900_v1.0
Aspsubr1	Aspergillus_subramanianii_CBS_138230_v1.0
Asptri1	Aspergillus_trinidadensis_IBT_32571_v1.0
Aspcu1	Aspergillus_cumulatus_DTO_311-F5_v1.0
Asppsf1	Aspergillus_pseudofelis_IBT_34107_v1.0
Aspcreb1	Aspergillus_creber_IBT_32277_v1.0
Aspnut1	Aspergillus_nutans_CBS_121.56_v1.0
Asptran1	Aspergillus_transcarpathicus_CBS_423.68_v1.0
Aspgig1	Aspergillus_giganteus_CBS_515.65_v1.0
Aspwest1	Aspergillus_westerdijkiae_CBS_112803_v1.0
Aspoer1	Aspergillus_oerlinghausenensis_CBS_139183_v1.0
Aspsia1	Aspergillus_siamensis_CBS_137452_v1.0
Aspcost1	Aspergillus_costiformis_CBS_101749_v1.0
Asphai1	Aspergillus_haitiensis_CBS_468.91_v1.0
Aspcle1	Aspergillus_cleistominutus_CBS_200.75_v1.0
Aspten1	Aspergillus_tennesseensis_IBT_32283_v1.0
Aspmir1	Aspergillus_miraensis_CBS_140625_v1.0
Aspaff1	Aspergillus_affinis_CBS_129190_v1.0
Asptem1	Aspergillus_templicola_CBS_138181_v1.0
Aspneoc1	Aspergillus_neoconicus_CBS_233.90_v1.0
Aspneow1	Aspergillus_neowarcupii_IBT_29024_v1.0
Aspcer1	Aspergillus_cervinus_CBS_196.64_v1.0
Aspden1	Aspergillus_dentatus_CBS_114.63_v1.0
Mycind1	Mycotypha_indica_IMI_211999_v1.0
FenlinCB54_1	Fennellomyces_linderi_CBS_158.54_v1.0
Piromy1	Piromyces_sp._UH3-1_v1.0
Clarep1_1	Cladochytrium_replicatum_JEL_714_v1.0
Phybl_L51_1	Phycomyces_blakesleeanus_L51_v1.0
Moreoh1	Morchella_eohespera_Mel-19_v1.0
Morper1	Morchella_peruviana_NRRL_66754_v1.0
Morpun1	Morchella_punctipes_GB769_v1.0
Loppic1	Lophodermium_piceae_NOR1-14_p44_v1.0
Morang1	Morchella_angusticeps_Mel-15_v1.0
Morhis1	Morchella_hispaniolensis_Mel-18_v1.0
