##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)"
1,"Sphaerosporella brunnea Sb_GMNB300 v2.0",Sphbr2,1250544,51598955,12597,Y,N,N,,,
2,"Magnaporthe oryzae 70-15 v3.0",Magor1,242507,40491973,12836,Y,Y,N,,"Dean RA et al.,2005","15846337"
3,"Hypoxylon sp. FL1150 v1.0",HyFL1150_1,1896109,41563746,11226,Y,N,N,,,
4,"Xylaria nigripes YMJ 653 v1.0",Xylni1,490159,34599847,8815,Y,N,N,,,
5,"Xylaria sp. CBS 124048 v1.0",Xy124048_1,1715255,33734976,8901,Y,N,N,,,
6,"Hypoxylon argillaceum CBS 527.63 v1.0",Hyparg1,1799007,54444476,12590,Y,N,N,,,
7,"Xylaria digitata CBS 161.22 v1.0",Xyldig1,323540,58420577,12640,Y,N,N,,,
8,"Phakopsora pachyrhizi MG2006 v1.0",Phapa1,170000,1057430280,20705,Y,N,N,,,
9,"Lentinula lateritia TMI1499 v1.0",LlaTMI1499_1,40482,39933087,12629,Y,N,N,,,
10,"Lentinula edodes TMI1148 v1.0",LedTMI1148_1,5353,37815065,13370,Y,N,N,,,
11,"Lentinula afn. boryana TFB7829 v1.0",LboTFB7829_1,2614576,33642804,12379,Y,N,N,,,
12,"Lentinula edodes VB361 v1.0",LedVB361_1,5353,37713178,13818,Y,N,N,,,
13,"Pseudoidium neolycopersici MF1 v1.0",Psene1,1481248,79936426,7104,Y,N,N,,,
14,"Neocosmospora boninensis NRRL 22470 v1.0",Neobo1,1162022,61506778,17800,Y,N,N,,,
15,"Poronia punctata CBS 180.79 v1.0",Porpun1,101475,47990914,9862,Y,N,N,,,
16,"Annulohypoxylon maeteangense CBS 123835 v1.0",Annmae1,1927788,38245008,11000,Y,N,N,,,
17,"Yarrowia lipolytica PO1f v1.0",YarliW29,1445506,20213331,6798,Y,N,N,,,
18,"Yarrowia lipolytica YlCW001 v1.0",YarliYlCW001,4952,20223585,6800,Y,N,N,,,
19,"Daldinia decipiens CBS 113046 v1.0",Daldec1,326647,35255283,10742,Y,N,N,,,
20,"Daldinia eschscholtzii FL0578 v1.0",Dales1,292717,36821210,11046,Y,N,N,,,
21,"Daldinia caldariorum CBS 122874 v1.0",Dalcal1,326644,35556611,10402,Y,N,N,,,
22,"Daldinia loculata CBS 113971 v1.0",Dalloc1,103429,37819304,10825,Y,N,N,,,
23,"Biscogniauxia marginata CBS 124505 v1.0",Bisma1,110534,45592449,11381,Y,N,N,,,
24,"Daldinia bambusicola CBS 122872 v1.0",Dalba1,326643,38030351,10508,Y,N,N,,,
25,"Biscogniauxia mediterranea AZ0048 v1.0",Bisme1,97377,44776836,11079,Y,N,N,,,
26,"Biscogniauxia mediterranea CBS 129072 v1.0",Bismed1,97377,44039921,11018,Y,N,N,,,
27,"Resinicium bicolor OMC78 v1.0",Resbic1,98781,55513262,13324,Y,N,N,,,
28,"Rostrohypoxylon terebratum CBS 119137 v1.0",Roster1,392036,37279361,11168,Y,N,N,,,
29,"Whalleya microplaca YMJ1829 v1.0",Whamic1,110547,48317886,12553,Y,N,N,,,
30,"Pseudocercospora ulei ERN8 v1.0",Pseule1,1740738,79461497,7918,Y,N,N,,,
31,"Pisolithus sp. B1 v1.0",Pismi_AB1_1,2614595,64705422,12451,Y,N,N,,,
32,"Clitocybe sp. CONT 1119283 v1.0",Cont1119283,1940298,71337806,15344,Y,N,N,,,
33,"Suillus "subluteus" FC464 v1.0",Suisubl1,48588,114207342,22673,Y,N,N,,,
34,"Suillus discolor FC423 v1.0",Suidis1,1912936,60609832,16510,Y,N,N,,,
35,"Chaetomium thermophilum var thermophilum DSM 1495",Chathe1,759272,28322806,7165,Y,Y,N,,"Amlacher S et al.,2011~Bock T et al.,2014","21784248 25398899"
36,"Xylogone sp. PMI_703 v1.0",XylPMI703_1,2614602,50149085,16491,Y,N,N,,,
37,"Ophiostoma sp. PMI_507 v1.0",OphPMI507_1,2614597,38805065,11900,Y,N,N,,,
38,"Diaporthaceae sp. PMI_573 v1.0",DiaPMI573_1,2614600,83857806,22973,Y,N,N,,,
39,"Meliniomyces sp. PMI_1271 v1.0",MelPMI1271_1,2614599,62840624,17286,Y,N,N,,,
40,"Rhodosporidium glutinis ATCC 204091 v1.0",Rhoglu91_1,5535,20478880,7374,Y,N,N,,,
41,"Lentinula boryana TFB10291 v1.0",Lbo_TFB10291_1,40481,33347755,11878,Y,N,N,,,
42,"Lentinula boryana ET3784 v1.0",LboET3784_1,40481,41453719,12281,Y,N,N,,,
43,"Umbelopsis sp. PMI_123 v1.0",Umbelo1,1896174,24636683,9672,Y,N,N,,,
44,"Melampsora x columbiana Clatskanie v1.0",MecolCla_1,1195720,184873583,37633,Y,N,N,,,
45,"Dichotomocladium robustum RSA 2353+ v1.0",Dicrob1,64645,38615751,12069,Y,N,N,,,
46,"Camillea tinctor CBS 203.56 v1.0",CtCBS203_1,110548,45006662,11860,Y,N,N,,,
47,"Armillaria mellea ELDO17 v1.0",Armmel1,47429,70856304,15646,Y,N,N,,,
48,"Annulohypoxylon nitens CBS 120705 v1.0",Annnit1,326626,38537808,11873,Y,N,N,,,
49,"Annulohypoxylon moriforme CBS 123579 v1.0",Annmor1,326622,42658955,11683,Y,N,N,,,
50,"Annulohypoxylon bovei var. microspora CBS 124037 v1.0",Annbov1,326616,41758719,11202,Y,N,N,,,
51,"Annulohypoxylon minutellum CBS 135445 v1.0",Annmin1,326621,35660783,10913,Y,N,N,,,
52,"Annulohypoxylon stygium FL0470 v1.0",Annsty1,326628,38544935,11880,Y,N,N,,,
53,"Annulohypoxylon truncatum CBS 140777 v1.0",Anntru1,327061,38067699,11151,Y,N,N,,,
54,"Lentinula edodes CS-584 v1.0",Led_CS584_1,5353,37472073,13619,Y,N,N,,,
55,"Lentinula boryana TFB10827 v1.0",Lbo_TFB10827_1,40481,32414438,11931,Y,N,N,,,
56,"Nemania diffusa NC0034 v1.0",Nemdif1,389665,51522393,12570,Y,N,N,,,
57,"Nemania serpens AK0226 v1.0",NsAK0226_1,109381,43199662,10924,Y,N,N,,,
58,"Nemania sp. FL0916 v1.0",NeFL0916_1,2614608,45465408,11921,Y,N,N,,,
59,"Nemania serpens CBS 679.86 v1.0",NsCB679_1,109381,48887256,12184,Y,N,N,,,
60,"Kretzschmaria deusta CBS 826.72 v1.0",KdCBS826_1,110526,49727278,12520,Y,N,N,,,
61,"Nemania serpens AZ0576 v1.0",NsAZ0576_1,109381,49475055,11778,Y,N,N,,,
62,"Xylariomycetidae sp. FL0641 v1.0",XyFL0641_1,2614611,38113609,11789,Y,N,N,,,
